ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Qualidade dos dados georreferenciados;Código WDPA;Data da publicação no CNUC;Data da última certificação dos dados pelo Órgão Gestor
1;0000.00.0001;;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;1992;Decreto 528 de 20/05/1992;Sem informação.;GOVERNADOR CELSO RAMOS (SC);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;4.437;1.877;3.000;;0;0;0;1.877;0;0;2.559;Área Marinha;57,7%;Uso Sustentável;0;1;;1;1;1;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;115868;11/10/2022 10:23:47;segunda-feira, 30 de outubro de 2023
2;0000.00.0002;;ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;Federal;Área de Proteção Ambiental;Category V;MG;1989;1989;Decreto 98182 de 26/09/1989;Sem informação.;BONITO DE MINAS (MG) - CÔNEGO MARINHO (MG) - ITACARAMBI (MG) - JANUÁRIA (MG);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;143.356;143.356;143.866;;0;26.621;116.734;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Caatinga,Mata Atlântica;Polígono corresponde ao memorial descritivo;31755;11/10/2022 10:24:03;sexta-feira, 23 de abril de 2010
3;0000.00.0003;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;Federal;Área de Proteção Ambiental;Category V;DF, GO;1983;1983;Decreto Nº 88.940 de 07/11/1983;Sem informação.;ÁGUAS LINDAS DE GOIÁS (GO) - BRASÍLIA (DF) - PADRE BERNARDO (GO);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;41.784;41.784;41.784;;0;0;41.784;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cerrado;Polígono corresponde ao memorial descritivo;19751;11/10/2022 10:24:23;segunda-feira, 20 de janeiro de 2025
4;0000.00.0004;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;Federal;Área de Proteção Ambiental;Category V;DF;1983;1983;Decreto 88940 de 07/11/1983;Sem informação.;BRASÍLIA (DF);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;82.681;82.681;0;;0;0;82.681;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cerrado;Polígono corresponde ao memorial descritivo;19752;11/10/2022 10:24:41;quarta-feira, 27 de abril de 2011
5;0000.00.0005;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO-LEÃO-DOURADO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;2002;Decreto S/N de 27/06/2002;Sem informação.;ARARUAMA (RJ) - CABO FRIO (RJ) - CACHOEIRAS DE MACACU (RJ) - CASIMIRO DE ABREU (RJ) - RIO BONITO (RJ) - RIO DAS OSTRAS (RJ) - SILVA JARDIM (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;150.375;150.375;150.700;;0;0;0;150.375;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;Mico-Leão-Dourado;Mata Atlântica;Polígono corresponde ao memorial descritivo;351727;11/10/2022 10:24:59;segunda-feira, 24 de julho de 2023
6;0000.00.0006;;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;2000;Decreto SN de 14/09/2000;Sem informação.;FLORIANÓPOLIS (SC) - GAROPABA (SC) - IÇARA (SC) - IMBITUBA (SC) - JAGUARUNA (SC) - LAGUNA (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - TUBARÃO (SC);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;154.860;34.875;156.100;;0;0;0;34.875;0;0;119.985;Área Marinha;77,5%;Uso Sustentável;0;1;;1;1;1;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;351716;11/10/2022 10:25:13;quinta-feira, 27 de setembro de 2007
7;0000.00.0007;;ÁREA DE PROTEÇÃO AMBIENTAL DA BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1993;1998;Decreto Nº 924 de 10/09/1993;Revisão dos limites: Decreto S/N de 07/04/1998;BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;14.919;11.611;14.640;;0;188;0;11.423;0;0;3.308;Mata Atlântica;22,2%;Uso Sustentável;0;1;;1;1;1;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;115993;11/10/2022 10:25:27;terça-feira, 8 de outubro de 2024
8;0000.00.0008;;ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DO ARARIPE;Federal;Área de Proteção Ambiental;Category V;CE, PE, PI;1997;1997;Decreto S/N de 04/08/1997;Sem informação.;ABAIARA (CE) - ALEGRETE DO PIAUÍ (PI) - ALTANEIRA (CE) - ARARIPE (CE) - ARARIPINA (PE) - ASSARÉ (CE) - BARBALHA (CE) - BODOCÓ (PE) - BREJO SANTO (CE) - CALDEIRÃO GRANDE DO PIAUÍ (PI) - CAMPOS SALES (CE) - CARIDADE DO PIAUÍ (PI) - CEDRO (PE) - CRATO (CE) - CURRAL NOVO DO PIAUÍ (PI) - EXU (PE) - FARIAS BRITO (CE) - FRANCISCO MACEDO (PI) - FRONTEIRAS (PI) - IPUBI (PE) - JARDIM (CE) - JATI (CE) - MARCOLÂNDIA (PI) - MISSÃO VELHA (CE) - MOREILÂNDIA (PE) - NOVA OLINDA (CE) - PADRE MARCOS (PI) - PENAFORTE (CE) - PORTEIRAS (CE) - POTENGI (CE) - SALITRE (CE) - SANTANA DO CARIRI (CE) - SÃO JULIÃO (PI) - SERRITA (PE) - SIMÕES (PI) - TRINDADE (PE);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1.017.376;1.017.376;1.063.000;;0;1.017.376;0;0;0;0;0;Caatinga;0,0%;Uso Sustentável;0;1;;0;0;0;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;Caatinga,Mata Atlântica;Polígono corresponde ao memorial descritivo;198356;11/10/2022 10:25:46;quarta-feira, 9 de outubro de 2024
9;0000.00.0009;;ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;AL, PE;1997;1997;Decreto S/N de 23/10/1997;Sem informação.;BARRA DE SANTO ANTÔNIO (AL) - BARREIROS (PE) - JAPARATINGA (AL) - MACEIÓ (AL) - MARAGOGI (AL) - PARIPUEIRA (AL) - PASSO DE CAMARAGIBE (AL) - PORTO CALVO (AL) - PORTO DE PEDRAS (AL) - SÃO JOSÉ DA COROA GRANDE (PE) - SÃO MIGUEL DOS MILAGRES (AL) - TAMANDARÉ (PE);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;405.629;4.904;413.563;;0;0;0;4.904;0;0;400.725;Área Marinha;98,8%;Uso Sustentável;0;1;;1;1;1;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;313631;11/10/2022 10:26:04;quarta-feira, 9 de outubro de 2024
10;0000.00.0010;;ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;1982;2022;Decreto 87561 de 13/07/1982;Revisão dos limites: Decreto 527 de 20/05/1992 - Revisão dos limites: Lei complementar 14.452 de 21/07/2022;DUQUE DE CAXIAS (RJ) - GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;58.691;58.691;68.224;;0;0;0;58.691;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;Mata Atlântica Central Fluminense;Mata Atlântica;Polígono corresponde ao memorial descritivo;16105;11/10/2022 10:26:18;quarta-feira, 11 de outubro de 2023
