higherClassification;order;family;canonicalName;threatStatus
Invertebrados Marinhos;Actiniaria;Actiniidae;Condylactis gigantea;Em Perigo (EN)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus acaraje;Vulnerável (VU)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus asturius;Em Perigo (EN)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus caatingae;Criticamente em Perigo (CR)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus eleonorae;Em Perigo (EN)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus ferreus;Criticamente em Perigo (CR)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus potiguar;Vulnerável (VU)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus spelaeus;Vulnerável (VU)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus taboa;Criticamente em Perigo (CR)
Invertebrados Terrestres;Amblypygi;Charinidae;Charinus troglobius;Em Perigo (EN)
Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus bahiensis;Vulnerável (VU)
Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus sanctus;Criticamente em Perigo (CR)
Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus santanensis;Criticamente em Perigo (CR)
Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus spinilacertus;Em Perigo (EN)
Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus titan;Criticamente em Perigo (CR)
Invertebrados de Água Doce ;Amphipoda;Artesiidae;Spelaeogammarus trajanoae;Em Perigo (EN)
Invertebrados de Água Doce;Amphipoda;Bogidiellidae;Megagidiella azul;Vulnerável (VU)
Invertebrados de Água Doce;Amphipoda;Dogielinotidae;Hyalella caeca;Vulnerável (VU)
Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella epikarstica;Criticamente em Perigo (CR)
Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella formosa;Criticamente em Perigo (CR)
Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella imbya;Criticamente em Perigo (CR)(PEX)
Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella veredae;Criticamente em Perigo (CR)
Invertebrados de Água Doce;Amphipoda;Mesogammaridae;Potiberaba porakuara;Vulnerável (VU)
Invertebrados de Água Doce;Amphipoda;Sebidae;Seborgia potiguar;Criticamente em Perigo (CR)
Invertebrados Marinhos;Anthoathecata;Milleporidae;Millepora laboreli;Vulnerável (VU)
Invertebrados Marinhos;Apodida;Synaptidae;Synaptula secreta;Criticamente em Perigo (CR)
Invertebrados Terrestres;Araneae;Caponiidae;Carajas paraua;Em Perigo (EN)
Invertebrados Terrestres;Araneae;Caponiidae;Tisentnops onix;Criticamente em Perigo (CR)
Invertebrados Terrestres;Araneae;Corinnidae;Ianduba paubrasil;Em Perigo (EN)
Invertebrados Terrestres;Araneae;Ctenidae;Celaetycheus mungunza;Criticamente em Perigo (CR)
