kingdom,order,family,canonicalName,threatStatus,source
Animalia,Amblypygi,Charinidae,Charinus acaraje,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus asturius,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus caatingae,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus eleonorae,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus ferreus,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus potiguar,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus spelaeus,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus taboa,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Amblypygi,Charinidae,Charinus troglobius,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Caponiidae,Carajas paraua,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Caponiidae,Tisentnops onix,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Corinnidae,Ianduba paubrasil,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Ctenidae,Celaetycheus mungunza,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Ctenidae,Isoctenus corymbus,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Dipluridae,Harmonicon cerberus,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Drymusidae,Drymusa spelunca,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Gnaphosidae,Brasilomma enigmatica,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Gnaphosidae,Tricongius ybyguara,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Ochyroceratidae,Ochyrocera ibitipoca,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Ochyroceratidae,Speocera eleonorae,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Pholcidae,Metagonia diamantina,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Pholcidae,Metagonia potiguar,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Salticidae,Matagaia chromatopus,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Salticidae,Neonella noronha,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Segestriidae,Ariadna aurea,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Sicariidae,Loxosceles troglobia,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Dolichothele diamantinensis,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Pterinopelma sazimai,VU,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Tmesiphantes hypogeus,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Typhochlaena curumim,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Typhochlaena seladonia,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Ybyrapora diversipes,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Araneae,Theraphosidae,Ybyrapora gamba,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Blattodea,Blattellidae,Litoblatta camargoi,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Caenogastropoda,Ampullariidae,Pomacea sordida,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Caenogastropoda,Hydrobiidae,Potamolithus karsticus,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium amazonicus,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium caatinga,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium cessaima,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium formoso,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium pains,EN,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium ricardoi,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
Animalia,Coleoptera,Carabidae,Coarazuphium spinifemur,CR,"Portaria MMA Nº 148, de 7 de junho de 2022"
