sigla,reflora,jabot
BRBA ,true,true
CGMS ,true,true
COR ,true,true
CRI ,true,true
DVPR ,true,true
ECT ,true,true
EVB ,true,true
FLOR ,true,true
FURB ,true,true
HBR ,true,true
HCF ,true,true
HEPH ,true,true
HERBAM ,true,true
HJ ,true,true
HSTM ,true,true
HUENF ,true,true
HUNI ,true,true
HURB ,true,true
IBGE ,true,true
JOI ,true,true
LUSC ,true,true
MBM ,true,true
MBML ,true,true
MUFAL ,true,true
PEL ,true,true
R ,true,true
RBR ,true,true
RFA ,true,true
RON ,true,true
RSPF ,true,true
SAMES ,true,true
SJRP ,true,true
TEPB ,true,true
UB ,true,true
UFRN ,true,true
UNIP ,true,true
UNOP ,true,true
UPCB ,true,true
VIES ,true,true
ALCB ,true,false
ASE ,true,false
B ,true,false
CEN ,true,false
CEPEC ,true,false
CESJ ,true,false
E ,true,false
EAC ,true,false
EBC ,true,false
ESA ,true,false
GH ,true,false
HACAM ,true,false
HDCF ,true,false
HRCB ,true,false
HUCP ,true,false
HUEFS ,true,false
HUEM ,true,false
HUEMG ,true,false
HUFU ,true,false
HVASF ,true,false
IAN ,true,false
ICN ,true,false
K ,true,false
MAC ,true,false
MG ,true,false
MO ,true,false
NY ,true,false
P ,true,false
PC ,true,false
PMSP ,true,false
RB ,true,false
REAL ,true,false
S ,true,false
SOF ,true,false
SPF ,true,false
US ,true,false
W ,true,false
ACAM ,false,true
AFR ,false,true
BHCB ,false,true
CAP ,false,true
CBPM ,false,true
DDMS ,false,true
FCAB ,false,true
HATM ,false,true
HB ,false,true
HCJS ,false,true
HCP ,false,true
HDJF ,false,true
HF ,false,true
HIPE ,false,true
HISA ,false,true
HRB ,false,true
HRJ ,false,true
HTO ,false,true
HUEG ,false,true
HUFSP ,false,true
HUPG ,false,true
HUVA ,false,true
HVAT ,false,true
HVC ,false,true
IBIUEMG ,false,true
IFRV ,false,true
JABU ,false,true
JAR ,false,true
JBB ,false,true
LAG ,false,true
LPF ,false,true
LSPF ,false,true
MCCA ,false,true
MFS ,false,true
NIT ,false,true
PAB ,false,true
PERD ,false,true
RA-LAP ,false,true
RFFP ,false,true
RN ,false,true
SHPR ,false,true
SLUI ,false,true
SPSC ,false,true
SRBM ,false,true
UALF ,false,true
UFOP ,false,true
UFRR ,false,true
UFG,false,false
